Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
1/23/16,2110,2251,0,5974,68,1216,310310,608,1672,536,0,68,53%,2.8,0:03:50,0,0,0,0%,4856,3442,610,484,407,336,101,75,4396,0.92s,54%,2.7,0:02:18
1/24/16,2232,2372,0,6210,46,1226,381565,595,1657,511,0,34,48%,2.8,0:03:01,0,0,0,0%,4624,3472,1010,738,451,390,125,90,4176,0.81s,52%,2.6,0:02:41
1/25/16,3764,4023,0,13652,1215,1892,783613,1208,5668,1056,0,1215,42%,4.7,0:05:01,0,0,0,0%,10845,7023,1491,1124,970,824,346,217,9899,0.62s,47%,3.4,0:03:15
1/26/16,3943,4209,0,13904,1394,2093,849247,1263,4413,1091,0,456,44%,3.5,0:04:26,0,0,0,0%,10835,7046,1806,1416,963,764,300,213,9810,0.62s,50%,3.3,0:03:22
1/27/16,3195,3423,0,12263,1357,1537,772176,1085,5591,937,0,1357,42%,5.2,0:05:37,0,0,0,0%,9627,6016,1531,1181,799,663,306,196,8870,0.58s,45%,3.6,0:03:46
1/28/16,3033,3239,0,11323,1243,1498,745175,903,3414,790,0,428,43%,3.8,0:05:04,0,0,0,0%,8676,5463,1692,1261,683,582,272,177,7818,0.62s,46%,3.5,0:03:50
1/29/16,2928,3162,0,10379,1134,1575,632424,975,4652,845,0,1134,46%,4.8,0:05:09,0,0,0,0%,8265,5271,1205,932,698,558,211,143,7511,0.59s,50%,3.3,0:03:20
1/30/16,2183,2323,0,6673,73,1234,385417,550,1788,476,0,73,48%,3.3,0:03:43,0,0,0,0%,5106,3647,1003,746,452,403,112,73,4522,0.71s,53%,2.9,0:02:46
1/31/16,2416,2566,0,7226,74,1332,431586,618,2069,550,0,74,46%,3.3,0:03:17,0,0,0,0%,5449,4008,1129,799,524,431,124,86,4801,0.67s,52%,2.8,0:02:48
2/1/16,4057,4339,0,14310,1304,2213,894734,1225,5734,1057,0,1304,41%,4.7,0:05:05,0,0,0,0%,11227,7264,1842,1404,907,716,334,213,10325,0.62s,51%,3.3,0:03:26
2/2/16,3659,3944,0,13649,1337,1865,826487,1231,4884,1049,0,449,39%,4,0:04:39,0,0,0,0%,10809,6868,1651,1232,828,671,361,256,9784,0.6s,47%,3.5,0:03:30
2/3/16,3560,3838,0,16603,2836,1781,829731,1233,6043,1065,0,1432,39%,4.9,0:04:50,0,0,0,0%,10701,6678,4621,2503,908,735,373,223,9861,0.58s,46%,4.3,0:03:36
2/4/16,3505,3777,0,13740,1479,1756,818966,1155,4666,998,0,371,38%,4,0:04:51,0,0,0,0%,10986,6843,1474,1107,954,739,326,195,10013,0.62s,46%,3.6,0:03:37
